
Analysis completed in 330.28 seconds.
FileName: Sample Ch 2.docx,  Size: 178.52 KB
Line 99: (NER): ->  Suggestions: her, nee, net, new, nor, yer, er, nerd, Nerf, Nero, fer, near, neg, per, Ger, Ne, Neb, Nebr, Ned, NEH, Neo, Nev, NPR, NR
Line 99: organisation, ->  Suggestions: organization
Line 99: ‘Indian’ ->  Suggestions: Indian, Indiana, Indians, India
Line 99: organisation ->  Suggestions: organization
Line 99: ‘NORP’ ->  Suggestions: corp, gorp, nor, norm, Nora, Norw
Line 101: ‘underfunding’ ->  No suggestions available
Line 103: Labelling: ->  Suggestions: labeling
Line 105: Hindi, ->  Suggestions: Hindi, hind, hinds, Hindu
Line 111: NLP. ->  Suggestions: alp, nap, nip, LP, Np
Line 115: Summarisation: ->  No suggestions available
Line 117: underfund’? ->  Suggestions: underfed, underfeed
Line 117: ‘India’. ->  Suggestions: India, Indian, indie, Indio, Indira, Indra
Line 123: curation ->  Suggestions: duration
Line 123: PDFs, ->  Suggestions: Pd's, PDF
Line 123: (OCR) ->  Suggestions: OCR, cor, oar, och, or, orc, our, Cr, Oct, Orr, VCR
Line 127: misspelt ->  Suggestions: misspell, misspent
Line 127: deduplication. ->  Suggestions: reduplication
Line 127: Unicode ->  Suggestions: Unicode
Line 131: normalising ->  Suggestions: normalizing
Line 131: lowercasing, ->  No suggestions available
Line 131: lemmatisation, ->  No suggestions available
Line 131: preprocessing ->  Suggestions: reprocessing
Line 131: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 135: preprocessed, ->  Suggestions: reprocessed
Line 135: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 135: analyse ->  Suggestions: analyst, analyses, analyze
Line 135: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 135: embeddings, ->  Suggestions: embedding
Line 139: NLU ->  Suggestions: flu, nu, Blu, Lu
Line 139: NLG, ->  Suggestions: lg, nag, neg, LNG
Line 139: modelling ->  Suggestions: modeling
Line 139: (LMs). ->  Suggestions: lbs, ms, alms, elms, ems, lams, ls, oms, HMS, L's, Las, Les, Los, PMS
Line 139: (RNN) ->  Suggestions: Rn, inn, ran, run, Ann, CNN, RNA, Ron
Line 139: (Elman ->  Suggestions: elan, Elma
Line 139: (LSTM), ->  Suggestions: lam, lat, late, lats, let, lets, loom, slum, sum, est, ism, last, lasts, lath, lest, list, lists, lit, lite, loam, lost, lot, lots, ls, lust, lusts, lusty, lute, sim, slam, slim, st, stem, sty, ltd, std
Line 139: (GRU) ->  Suggestions: grew, grub, grue, Grus, gnu, gr, guru, GPU, GU, Ru
Line 139: (Gers ->  Suggestions: gees, gets, hers, gars, gears, gels, gems, gens, germ, germs, goers, Ge's, Ger, Ger's, Gere
Line 139: et ->  Suggestions: er, pt, qt, rt, st, wt, ET, eta, etc, t, E, Ea, Ed, Eh, Em, En, Es, ETD, Eu, Ex, at, bet, ct, eat, est, ext, ft, get, gt, ht, it, jet, kt, let, met, mt, net, pet, set, vet, wet, yet, EC, EDT, EFT, EMT, Lt, NT, OT, Te, TET, Ut, Vt, YT
Line 139: al. ->  Suggestions: all, am, Al, alb, ale, alp, alt, l, A, Ab, Ac, Ad, Ag, Ah, Ala, Ali, An, Ar, As, At, Au, Av, Aw, Ax, ail, awl, bl, cal, cl, fl, gal, kl, la, ll, ml, pal, pl, val, AA, AF, AI, AK, AOL, AP, ASL, AZ, HAL, IL, SAL, Tl, UL, XL
Line 139: Tsujii ->  No suggestions available
Line 139: Cho ->  Suggestions: chi, chew, so, choc, chop, chow, ho, Chou, ch, chg, chm, co, coho, coo, echo, oho, rho, tho, who, CEO, CFO, Che, CPO
Line 139: et ->  Suggestions: er, pt, qt, rt, st, wt, ET, eta, etc, t, E, Ea, Ed, Eh, Em, En, Es, ETD, Eu, Ex, at, bet, ct, eat, est, ext, ft, get, gt, ht, it, jet, kt, let, met, mt, net, pet, set, vet, wet, yet, EC, EDT, EFT, EMT, Lt, NT, OT, Te, TET, Ut, Vt, YT
Line 139: al. ->  Suggestions: all, am, Al, alb, ale, alp, alt, l, A, Ab, Ac, Ad, Ag, Ah, Ala, Ali, An, Ar, As, At, Au, Av, Aw, Ax, ail, awl, bl, cal, cl, fl, gal, kl, la, ll, ml, pal, pl, val, AA, AF, AI, AK, AOL, AP, ASL, AZ, HAL, IL, SAL, Tl, UL, XL
Line 139: modelling ->  Suggestions: modeling
Line 139: (Vaswani ->  No suggestions available
Line 139: et ->  Suggestions: er, pt, qt, rt, st, wt, ET, eta, etc, t, E, Ea, Ed, Eh, Em, En, Es, ETD, Eu, Ex, at, bet, ct, eat, est, ext, ft, get, gt, ht, it, jet, kt, let, met, mt, net, pet, set, vet, wet, yet, EC, EDT, EFT, EMT, Lt, NT, OT, Te, TET, Ut, Vt, YT
Line 139: al. ->  Suggestions: all, am, Al, alb, ale, alp, alt, l, A, Ab, Ac, Ad, Ag, Ah, Ala, Ali, An, Ar, As, At, Au, Av, Aw, Ax, ail, awl, bl, cal, cl, fl, gal, kl, la, ll, ml, pal, pl, val, AA, AF, AI, AK, AOL, AP, ASL, AZ, HAL, IL, SAL, Tl, UL, XL
Line 139: modelled, ->  Suggestions: modeled
Line 139: de ->  Suggestions: dd, do, dz, re, DE, Dee, deb, def, deg, den, dew, e, D, Db, Dc, DEA, Dec, Del, Dem, Di, Dr, Du, Dy, be, die, doe, due, dye, ed, he, me, ode, we, ye, Ce, DA, DH, DJ, DP, Fe, Ge, IDE, IE, Le, Ne, OE, PE, Se, Te, Xe
Line 139: facto ->  Suggestions: factor, fact, facts
Line 139: NLP. ->  Suggestions: alp, nap, nip, LP, Np
Line 139: LMs ->  Suggestions: lbs, ms, alms, elms, ems, lams, ls, oms, HMS, L's, Las, Les, Los, PMS
Line 143: summarisation ->  No suggestions available
Line 143: (BLEU) ->  Suggestions: blew, bled, blue, Blu
Line 143: Gisting ->  Suggestions: gusting, gifting, girting, listing, misting
Line 143: BERTScore ->  No suggestions available
Line 143: LMs ->  Suggestions: lbs, ms, alms, elms, ems, lams, ls, oms, HMS, L's, Las, Les, Los, PMS
Line 143: LM ->  Suggestions: km, lb, ll, mm, m, L, La, Le, Lg, Li, Ln, Lo, Lr, Ls, Lt, Lu, am, cm, elm, em, gm, lam, ml, om, pm, rm, um, BM, Fm, HM, LC, LCM, LP, NM, QM, Sm, Tm, Wm
Line 177: hyperparameters ->  No suggestions available
Line 177: optimised ->  Suggestions: optimized
Line 191: Greek ->  Suggestions: Greek, reek, Greeks, creek, geek, greed, green, greet, Greer
Line 191: morphe, ->  Suggestions: morphs, morphed, morph, Morphy
Line 191: ology, ->  Suggestions: logy
Line 191: Hindi, ->  Suggestions: Hindi, hind, hinds, Hindu
Line 191: Turkish, ->  Suggestions: Turkish
Line 191: Hungarian ->  Suggestions: Hungarian, Hungarians
Line 191: morphologically ->  No suggestions available
Line 191: English ->  Suggestions: English
Line 191: Chinese ->  Suggestions: Chinese, chines
Line 191: morphologically ->  No suggestions available
Line 191: morphologically ->  No suggestions available
Line 195: English ->  Suggestions: English
Line 197: Hindi ->  Suggestions: Hindi, hind, hinds, Hindu
Line 199: Tamil ->  Suggestions: Tamil, Tamils, tail, Tami
Line 233: (English) ->  Suggestions: English
Line 233: (Hindi ->  Suggestions: Hindi, hind, hinds, Hindu
Line 233: Tamil). ->  Suggestions: Tamil, Tamils, tail, Tami
Line 237: English, ->  Suggestions: English
Line 237: Hindi, ->  Suggestions: Hindi, hind, hinds, Hindu
Line 243: -ing ->  Suggestions: inf, int, ING, Inge, ding, hing, in, inc, ind, ink, inn, ins, king, ling, ping, ring, sing, ting, wing, zing, Eng, Ina, LNG, MING
Line 243: ‘ing’ ->  Suggestions: inf, int, ING, Inge, ding, hing, in, inc, ind, ink, inn, ins, king, ling, ping, ring, sing, ting, wing, zing, Eng, Ina, LNG, MING
Line 251: analysed ->  Suggestions: analyses, analyzed
Line 251: un, ->  Suggestions: en, in, on, tn, uh, um, UN, n, uni, U, Up, Ur, Us, Ut, an, bun, dun, fun, gun, jun, kn, mun, nu, nun, pun, run, sun, tun, urn, HUN, Ln, Mn, Rn, Sn, UK, UL, USN, UV, Zn
Line 251: mis, ->  Suggestions: miss, bis, mid, mix, mks, mos, mus, xis, is, misc, mist, dis, his, mas, mes, mi, mi's, mic, mics, mil, mils, min, ms, mys, pis, sis, M's, Mia, MIPS, Mir, MIT, Mrs, Wis
Line 251: intra, ->  Suggestions: infra, intro, Indra
Line 251: ing, ->  Suggestions: inf, int, ING, Inge, ding, hing, in, inc, ind, ink, inn, ins, king, ling, ping, ring, sing, ting, wing, zing, Eng, Ina, LNG, MING
Line 251: ness, ->  Suggestions: mess, news, fess, less, nest, nests, nets, Bess, Hess, Jess, Ne's, Tess
Line 251: ly, ->  Suggestions: la, lb, ls, my, lye, y, L, Le, Lg, Li, Ll, Ln, Lo, Lr, Lt, Lu, by, fly, lay, ply, sly, Dy, FY, Ky, LC, LP, NY, Ry, Ty, WY
Line 259: Lemmatisation ->  No suggestions available
Line 279: democratisation ->  Suggestions: democratization
Line 283: democratisation ->  Suggestions: democratization
Line 287: interpol ->  Suggestions: Interpol
Line 299: Stemmer ->  Suggestions: stemmed, stammer, steamer
Line 299: WordNetLemmatizer ->  No suggestions available
Line 303: pre ->  Suggestions: ere, ore, pee, pro, pref, prep, pres, prey, re, are, ire, pare, per, pie, pore, pr, pry, pure, pyre, PE, Poe, PRC
Line 303: preflight). ->  Suggestions: relight
Line 303: ly ->  Suggestions: la, lb, ls, my, lye, y, L, Le, Lg, Li, Ll, Ln, Lo, Lr, Lt, Lu, by, fly, lay, ply, sly, Dy, FY, Ky, LC, LP, NY, Ry, Ty, WY
Line 303: English, ->  Suggestions: English
Line 309: stemmer ->  Suggestions: stemmed, stammer, steamer
Line 309: normalise ->  Suggestions: normalize
Line 309: derivational ->  No suggestions available
Line 309: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 309: Stemmers. ->  Suggestions: stammers, steamers
Line 313: normalise ->  Suggestions: normalize
Line 313: ‘len’, ->  Suggestions: ken, men, Len, en, lend, lens, lent, Lena, Leno, den, fen, gen, glen, hen, lea, lean, led, lee, leg, lei, let, lien, pen, sen, ten, wen, yen, zen, Ben, LAN, Le, Leo, Leon, Les, Lew, Lin, Ln, Lon, LPN, LVN, OLEN
Line 313: English ->  Suggestions: English
Line 317: Lemmatisation ->  No suggestions available
Line 319: normalising ->  Suggestions: normalizing
Line 319: Lemmatisers ->  No suggestions available
Line 319: normalise ->  Suggestions: normalize
Line 319: Lemmatisers ->  No suggestions available
Line 319: stemmers ->  Suggestions: stammers, steamers
Line 319: lemmatiser ->  No suggestions available
Line 319: lemmatisers ->  No suggestions available
Line 319: WordNet ->  Suggestions: wordier
Line 319: English ->  Suggestions: English
Line 325: lemmatisation ->  No suggestions available
Line 325: NLP, ->  Suggestions: alp, nap, nip, LP, Np
Line 325: NER, ->  Suggestions: her, nee, net, new, nor, yer, er, nerd, Nerf, Nero, fer, near, neg, per, Ger, Ne, Neb, Nebr, Ned, NEH, Neo, Nev, NPR, NR
Line 325: POS ->  Suggestions: poss, poos, pis, pod, pow, pox, pus, pews, pose, posh, post, posy, cos, dos, hos, mos, nos, ops, pas, pods, poi, pol, pols, pom, poms, poo, pop, pops, pot, pots, pros, iOS, Los, Os, P's, PBS, PMS, Po, Po's, Poe, PPS, PS, SOS
Line 325: specialised ->  Suggestions: specialized
Line 325: AFINN, ->  Suggestions: Finn
Line 325: SentiWordNet, ->  No suggestions available
Line 325: EmoLex, ->  Suggestions: emblem, emoted, emotes, moles
Line 325: PropBank) ->  Suggestions: propane
Line 325: ‘hangry’. ->  Suggestions: angry, hungry
Line 329: Tokenisation ->  No suggestions available
Line 331: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 331: tokenisation. ->  No suggestions available
Line 335: tokenisation’. ->  No suggestions available
Line 339: tokenisation ->  No suggestions available
Line 339: tokenisation’.] ->  No suggestions available
Line 339: English, ->  Suggestions: English
Line 339: whitespace ->  No suggestions available
Line 339: ‘tokenisation.’]. ->  No suggestions available
Line 339: ‘tokenisation.’ ->  No suggestions available
Line 339: tokenised ->  No suggestions available
Line 339: ‘tokenisation’, ->  No suggestions available
Line 343: tokenisation ->  No suggestions available
Line 343: neighbouring ->  Suggestions: neighboring
Line 343: tokenisation’, ->  No suggestions available
Line 343: ‘tokenisation ->  No suggestions available
Line 343: <EOS>’], ->  Suggestions: dos, cos, eds, egos, emos, ems, ens, eon, eons, es, hos, mos, nos, E's, Enos, EOE, Eros, iOS, LEOS, Los, Os, SOS
Line 343: <EOS> ->  Suggestions: dos, cos, eds, egos, emos, ems, ens, eon, eons, es, hos, mos, nos, E's, Enos, EOE, Eros, iOS, LEOS, Los, Os, SOS
Line 347: Subword ->  Suggestions: sword
Line 347: Tokenisation ->  No suggestions available
Line 349: subword ->  Suggestions: sword
Line 349: ‘Kendall’, ->  Suggestions: Kendall
Line 349: tokenisation ->  No suggestions available
Line 349: tokenisation, ->  No suggestions available
Line 349: subword ->  Suggestions: sword
Line 349: tokenisation ->  No suggestions available
Line 349: subword ->  Suggestions: sword
Line 349: Wordpiece ->  Suggestions: codpiece
Line 349: Tokenisation. ->  No suggestions available
Line 353: (BPE) ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 355: (Gage ->  Suggestions: gags, gate, gave, gaze, Gage, age, cage, gag, gaga, gale, game, gape, gauge, mage, page, rage, sage, wage
Line 359: 2nd ->  Suggestions: yd, Nd, d, N, Na, Nb, Ne, Ni, No, Np, Nu, ad, and, dd, ed, end, id, ind, nod, pd, rd, Cd, FD, Gd, JD, Md, NC, Ned, NF, NH, NJ, NM, NR, NS, NT, NV, NW, NY, NZ, OD, SD, TD, VD
Line 363: FCBPE ->  Suggestions: cape, cope, scope
Line 367: BPE. ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 375: ‘ok‘. ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 375: ok ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 375: ok ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 375: ok ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 375: ok ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 375: {‘ok’} ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 379: ‘ok‘ ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 379: ‘ok’ ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 379: ‘tok ->  Suggestions: took, tom, too, wok, toke, to, toe, tog, ton, top, tor, tot, tow, toy, OK, TKO, Tod
Line 379: ‘tok ->  Suggestions: took, tom, too, wok, toke, to, toe, tog, ton, top, tor, tot, tow, toy, OK, TKO, Tod
Line 379: ‘tok ->  Suggestions: took, tom, too, wok, toke, to, toe, tog, ton, top, tor, tot, tow, toy, OK, TKO, Tod
Line 379: ‘tok ->  Suggestions: took, tom, too, wok, toke, to, toe, tog, ton, top, tor, tot, tow, toy, OK, TKO, Tod
Line 379: ‘tok’ ->  Suggestions: took, tom, too, wok, toke, to, toe, tog, ton, top, tor, tot, tow, toy, OK, TKO, Tod
Line 383: ’ok’, ->  Suggestions: oi, om, pk, wk, och, OK, k, O, Ob, Of, Oh, OKs, On, Op, Or, Os, Ow, Ox, Oz, bk, ck, oak, oik, wok, AK, Gk, KO, Mk, OD, OE, OJ, OT, SK, UK
Line 383: ‘tok’, ->  Suggestions: took, tom, too, wok, toke, to, toe, tog, ton, top, tor, tot, tow, toy, OK, TKO, Tod
Line 383: ‘th’, ->  Suggestions: eh, oh, tb, tn, uh, Th, h, the, tho, thy, T, Ta, Tc, Te, THC, Thu, Ti, Tl, Tm, To, Tr, Ts, Tu, Ty, ah, ch, ht, nth, sh, DH, NH, pH, Rh, TD, TV, TX
Line 387: subword ->  Suggestions: sword
Line 387: tokenised ->  No suggestions available
Line 387: subwords ->  Suggestions: swords
Line 391: subword ->  Suggestions: sword
Line 391: tokenisation ->  No suggestions available
Line 391: BPE ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 391: WordPiece. ->  Suggestions: codpiece
Line 391: realised ->  Suggestions: realized
Line 391: BPE ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 391: WordPiece. ->  Suggestions: codpiece
Line 399: maxiter ->  Suggestions: master
Line 407: maxiter ->  Suggestions: master
Line 409: tl ->  Suggestions: fl, pl, Tl, l, T, Ta, Tb, Tc, Te, Th, Ti, TLC, Tm, Tn, To, Tr, Ts, Tu, Ty, bl, cl, kl, ll, ml, tel, til, Al, IL, Lt, TD, TV, TX, UL, XL
Line 409: (FC ->  Suggestions: cc, dc, ff, FCC, c, F, Fa, Fe, Fl, Fm, Fr, Ft, ac, cf, kc, AFC, BC, CFC, EC, FD, FTC, FY, KFC, LC, MC, NC, NFC, PC, PFC, QC, RC, RFC, Sc, Tc, WC
Line 411: tlr ->  Suggestions: tar, tor, tr, Lr, SLR, Tl, TLC
Line 411: tl ->  Suggestions: fl, pl, Tl, l, T, Ta, Tb, Tc, Te, Th, Ti, TLC, Tm, Tn, To, Tr, Ts, Tu, Ty, bl, cl, kl, ll, ml, tel, til, Al, IL, Lt, TD, TV, TX, UL, XL
Line 413: tlr ->  Suggestions: tar, tor, tr, Lr, SLR, Tl, TLC
Line 415: tlr ->  Suggestions: tar, tor, tr, Lr, SLR, Tl, TLC
Line 445: WordPiece ->  Suggestions: codpiece
Line 445: Tokeniser ->  No suggestions available
Line 449: BPE ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 449: maximising ->  Suggestions: maximizing
Line 449: maximise ->  Suggestions: maximize
Line 449: BPE ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 449: WordPiece ->  Suggestions: codpiece
Line 449: Tokeniser. ->  No suggestions available
Line 449: BPE ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 449: WordPiece ->  Suggestions: codpiece
Line 453: WordPiece ->  Suggestions: codpiece
Line 453: penalises ->  Suggestions: penalizes
Line 457: SentencePiece ->  No suggestions available
Line 457: Tokeniser ->  No suggestions available
Line 459: tokenisation ->  No suggestions available
Line 459: preprocessed ->  Suggestions: reprocessed
Line 459: Chinese ->  Suggestions: Chinese, chines
Line 459: Japanese, ->  Suggestions: Japanese, Japaneses, Javanese
Line 459: SentencePiece ->  No suggestions available
Line 459: tokeniser ->  No suggestions available
Line 459: SentencePiece ->  No suggestions available
Line 459: tokenisation ->  No suggestions available
Line 459: SentencePiece ->  No suggestions available
Line 459: Unicode ->  Suggestions: Unicode
Line 459: BPE ->  Suggestions: bee, bps, ape, be, bpm, bye, ope, BP, BPOE, PE
Line 459: WordPiece, ->  Suggestions: codpiece
Line 459: SentencePiece ->  No suggestions available
Line 463: Syntactics ->  Suggestions: syntactic
Line 465: English ->  Suggestions: English
Line 465: (NP) ->  Suggestions: hp, mp, no, nu, Np, p, N, Na, Nb, Nd, Ne, Ni, NPR, nap, nip, op, pp, up, AP, BP, DP, GNP, GP, IP, JP, KP, LP, NC, NF, NH, NJ, NM, NR, NS, NT, NV, NW, NY, NZ, RP, Sp, VP, WP
Line 465: (VP). ->  Suggestions: mp, VP, p, V, Va, Vb, Vi, Vs, Vt, hp, op, pp, up, AP, BP, DP, GP, IP, JP, KP, LP, MVP, Np, RP, Sp, VD, VF, VG, VIP, VJ, WP
Line 465: neighbourhood ->  Suggestions: neighborhood
Line 465: ‘neighbourhood’ ->  Suggestions: neighborhood
Line 465: neighbourhood’. ->  Suggestions: neighborhood
Line 477: POS ->  Suggestions: poss, poos, pis, pod, pow, pox, pus, pews, pose, posh, post, posy, cos, dos, hos, mos, nos, ops, pas, pods, poi, pol, pols, pom, poms, poo, pop, pops, pot, pots, pros, iOS, Los, Os, P's, PBS, PMS, Po, Po's, Poe, PPS, PS, SOS
Line 477: morphologically ->  No suggestions available
Line 477: realised ->  Suggestions: realized
Line 489: lexically ->  Suggestions: medically
Line 497: Decompositional ->  No suggestions available
Line 501: WordNet ->  Suggestions: wordier
